"RefNum","agerange","age","job","marital","education","balance","housing","loan","month","duration","deposit","lead","product","qualified","contacted","won","loanvalue","NPS","day","duration_temp","duration_before","date","last_deposit"
"10023467","41-60",58,"management","married","tertiary",-71,"yes","yes","january",4,5,1,"auto ",1,1,1,2453,10,31,4,261,2019-01-31,1632
"10023468","41-60",44,"technician","single","secondary",-99,"yes","no","february",3,0,1,"auto ",1,1,1,2586,10,28,3,151,2019-02-28,1604
"10023469","31-40",33,"entrepreneur","married","secondary",-99,"yes","no","march",1,1,1,"auto ",1,1,0,6530,0,31,1,76,2019-03-31,1573
"10023470","41-60",47,"blue-collar","married","tertiary",-79,"yes","yes","april",2,0,1,"auto ",1,1,0,2476,0,30,2,92,2019-04-30,1543
"10023471","31-40",33,"","single","primary",-99,"no","no","may",3,0,1,"auto ",1,1,0,4384,0,31,3,198,2019-05-31,1512
"10023472","31-40",35,"management","married","tertiary",-96,"yes","yes","june",2,7,1,"auto ",1,1,0,4080,0,30,2,139,2019-06-30,1482
"10023473","18-30",28,"management","single","tertiary",-93,"yes","no","july",4,0,1,"auto ",1,1,0,2127,0,31,4,217,2019-07-31,1451
"10023474","41-60",42,"entrepreneur","divorced","tertiary",-99,"yes","yes","august",6,0,1,"auto ",1,1,0,5699,0,31,6,380,2019-08-31,1420
"10023475","41-60",58,"retired","married","primary",-98,"yes","yes","september",1,6,1,"auto ",1,1,0,3237,0,30,1,50,2019-09-30,1390
"10023476","41-60",43,"technician","single","secondary",-91,"yes","no","october",1,9,1,"auto ",1,1,0,2558,0,31,1,55,2019-10-31,1359
"10023477","41-60",41,"admin","divorced","secondary",-96,"yes","no","november",4,7,1,"auto ",1,1,0,2298,0,30,4,222,2019-11-30,1329
"10023478","18-30",29,"admin","single","secondary",-94,"yes","no","december",2,1,1,"auto ",1,1,0,3397,0,31,2,137,2019-12-31,1298
"10023479","41-60",53,"technician","married","secondary",-99,"yes","yes","january",9,0,1,"auto ",1,1,0,2106,0,31,9,517,2019-01-31,1632
"10023480","41-60",58,"technician","married","primary",-98,"yes","yes","february",1,2,0,"no product",0,0,0,2877,0,28,1,71,2019-02-28,1604
"10023481","41-60",57,"services","married","secondary",-97,"yes","yes","march",3,4,0,"no product",0,0,0,2226,0,31,3,174,2019-03-31,1573
"10023482","41-60",51,"retired","married","primary",-96,"yes","yes","april",6,1,0,"no product",0,0,0,2880,0,30,6,353,2019-04-30,1543
"10023483","41-60",45,"admin","single","primary",-99,"yes","no","may",2,0,0,"no product",0,0,0,2434,0,31,2,98,2019-05-31,1512
"10023484","41-60",57,"blue-collar","married","primary",-99,"yes","yes","june",1,1,0,"no product",0,0,0,4246,0,30,1,38,2019-06-30,1482
"10023485","41-60",60,"retired","married","primary",-98,"yes","yes","july",4,0,0,"no product",0,0,0,3047,0,31,4,219,2019-07-31,1451
"10023486","31-40",33,"services","married","secondary",-99,"yes","no","august",1,0,0,"no product",0,0,0,2303,0,31,1,54,2019-08-31,1420
"10023487","18-30",28,"blue-collar","married","secondary",-90,"yes","no","september",4,17,0,"no product",0,0,0,3659,0,30,4,262,2019-09-30,1390
"10023488","41-60",56,"management","married","tertiary",-89,"yes","yes","october",3,3,0,"no product",0,0,0,2100,0,31,3,164,2019-10-31,1359
"10023489","31-40",32,"blue-collar","single","primary",-99,"yes","no","november",3,0,1,"mortgage",1,1,0,7624,0,30,3,160,2019-11-30,1329
"10023490","18-30",25,"services","married","secondary",-99,"yes","no","december",6,0,1,"mortgage",1,1,0,8694,0,31,6,342,2019-12-31,1298
